Panel,Sensitivity,Mult. Reg. #1,Mult. Reg. #2,Mult. Reg. Log
"Corr=-0.5, Noise=0.0",P,0.0,0.0,0.0
"Corr=-0.5, Noise=0.0",PET,0.0,0.001,0.0
"Corr=-0.5, Noise=0.025",P,0.0,0.0,0.0
"Corr=-0.5, Noise=0.025",PET,0.0,0.02,0.018
"Corr=0.0, Noise=0.0",P,0.0,0.0,0.0
"Corr=0.0, Noise=0.0",PET,0.0,0.0,0.0
"Corr=0.0, Noise=0.025",P,0.0,0.0,0.0
"Corr=0.0, Noise=0.025",PET,0.0,0.018,0.017
"Corr=0.5, Noise=0.0",P,0.0,0.0,0.0
"Corr=0.5, Noise=0.0",PET,0.0,0.0,0.0
"Corr=0.5, Noise=0.025",P,0.0,0.0,0.0
"Corr=0.5, Noise=0.025",PET,0.002,0.04,0.035
