Panel,Method,Avg R2
"Corr=-0.5, Noise=0.0",Mult. Reg. #1,0.97
"Corr=-0.5, Noise=0.0",Mult. Reg. #2,0.97
"Corr=-0.5, Noise=0.0",Mult. Reg. Log,0.99
"Corr=-0.5, Noise=0.025",Mult. Reg. #1,0.94
"Corr=-0.5, Noise=0.025",Mult. Reg. #2,0.94
"Corr=-0.5, Noise=0.025",Mult. Reg. Log,0.96
"Corr=0.0, Noise=0.0",Mult. Reg. #1,0.98
"Corr=0.0, Noise=0.0",Mult. Reg. #2,0.98
"Corr=0.0, Noise=0.0",Mult. Reg. Log,1.0
"Corr=0.0, Noise=0.025",Mult. Reg. #1,0.94
"Corr=0.0, Noise=0.025",Mult. Reg. #2,0.94
"Corr=0.0, Noise=0.025",Mult. Reg. Log,0.95
"Corr=0.5, Noise=0.0",Mult. Reg. #1,0.99
"Corr=0.5, Noise=0.0",Mult. Reg. #2,0.99
"Corr=0.5, Noise=0.0",Mult. Reg. Log,1.0
"Corr=0.5, Noise=0.025",Mult. Reg. #1,0.94
"Corr=0.5, Noise=0.025",Mult. Reg. #2,0.94
"Corr=0.5, Noise=0.025",Mult. Reg. Log,0.95
